imdb_id,title,year,plot,poster,runtime,website,genre,director,actors,rating,country,season,episode,tomato_score,tomato_fresh
tt2150371,The Crossing,2014,"In the midst of the Chinese Revolution during the late 1940s, couples flee to the island of Taiwan.",https://m.media-amazon.com/images/M/MV5BYTU2NDIwNjktNWU3Yy00Y2ZjLWFhMjMtN2M4MDliZGEyZGI3XkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,129 min,N/A,"Drama, History, Romance",John Woo,"Ziyi Zhang, Masami Nagasawa, Takeshi Kaneshiro, Xiaoming Huang",N/A,"China, USA, Hong Kong",None,None,N/A,N/A
tt2896898,Mysteries of the Unseen World,2013,"MYSTERIES OF THE UNSEEN WORLD transports audiences to places on this planet that they have never been before, to see things that are beyond their normal vision, yet literally right in front...",https://ia.media-imdb.com/images/M/MV5BMTYyOTc4MzU0M15BMl5BanBnXkFtZTgwOTc1NzY1NDE@._V1_SX300.jpg,39 min,http://www.virgilfilmsent.com/,"Documentary, Short",Louie Schwartzberg,"Forest Whitaker, Andrew Bankston, Payton Bourgeois, Elizabeth Donner",NOT RATED,USA,None,None,100%,N/A
tt2898306,Harry & Snowman,2015,The story of immigrant Harry DeLeyer and the plow horse he rescued from slaughter.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE1NjM1OTI4Nl5BMl5BanBnXkFtZTgwNDUxOTEyNzE@._V1_SX300.jpg,84 min,http://www.harryandsnowman.com/,"Documentary, Biography, Drama",Ron Davis,"Harry DeLeyer, Harriet DeLeyer, Andre DeLeyer, Marty DeLeyer",N/A,USA,None,None,94%,N/A
tt2900624,All Hallows' Eve,2013,A babysitter finds a VHS tape which features various sinister murders performed by a psychotic clown.,https://m.media-amazon.com/images/M/MV5BODYxNjgzOTkxMF5BMl5BanBnXkFtZTgwMTcyNTUzMDE@._V1_SX300.jpg,83 min,N/A,"Horror, Thriller",Damien Leone,"Katie Maguire, Catherine A. Callahan, Marie Maser, Kayla Lian",UNRATED,USA,None,None,N/A,N/A
tt2900822,Torment,2013,"Two parents find themselves fighting to get their little boy back from a sadistic cult, who have stolen him and plan on dark ideas.",https://m.media-amazon.com/images/M/MV5BMjIwNzk4OTIxN15BMl5BanBnXkFtZTcwMjQyMTM1OQ@@._V1_SX300.jpg,82 min,http://vert-ent.com/,"Horror, Thriller",Jordan Barker,"Katharine Isabelle, Robin Dunne, Peter DaCunha, Stephen McHattie",R,Canada,None,None,N/A,N/A
tt2901516,A Horse for Summer,2015,"When a family emergency forces a troubled teen to do the wrong thing for the right reason, a community discovers the meaning of forgiveness.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyODE4OTM2N15BMl5BanBnXkFtZTgwNzEyMDM2MDE@._V1_SX300.jpg,96 min,http://ahorseforsummer.com/,"Drama, Family",Nancy Criss,"Dean Cain, Christopher Atkins, Lee Meriwether, Mandalynn Carlson",PG,USA,None,None,N/A,N/A
tt2901548,The Rooftop,2013,"Gao and his friends are the happiest kids in the city of Galilee. Living on the rooftops of this bustling metropolis, sometimes life can be tough, but they still churn out songs all day, ...",https://ia.media-imdb.com/images/M/MV5BOTA2MjM5MjI5N15BMl5BanBnXkFtZTcwNjIyMDk4OQ@@._V1_SX300.jpg,120 min,http://www.wellgousa.com/theatrical/the-rooftop,"Action, Comedy, Drama",Jay Chou,"Jay Chou, Xueqi Wang, Eric Tsang, Fan Xu",NOT RATED,"Taiwan, China, Hong Kong",None,None,N/A,N/A
tt2901584,Kumail Nanjiani: Beta Male,2013,"In the world premiere of his Comedy Central one-hour stand-up special, ""Beta Male,"" Kumail Nanjiani (""John Oliver's New York Stand-Up Show,"" ""Portlandia,"" ""Franklin & Bash"") tells you about all the things that terrify him completely.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2NTQwNzQyM15BMl5BanBnXkFtZTgwMzgwODA2MDE@._V1_SX300.jpg,60 min,N/A,Comedy,Marcus Raboy,Kumail Nanjiani,TV-MA,USA,None,None,N/A,N/A
tt2901736,Ilo Ilo,2013,"In 90s Singapore, the friendship between Filipino nursemaid Teresa and her young charge Jiale makes waves in a family, while the Asian recession hits the region.",https://ia.media-imdb.com/images/M/MV5BMTM3NzU5NjAwNF5BMl5BanBnXkFtZTcwMzQzMDI1OQ@@._V1_SX300.jpg,99 min,http://www.filmmovement.com/theatrical/index.asp?MerchandiseID=346,Drama,Anthony Chen,"Yann Yann Yeo, Tian Wen Chen, Angeli Bayani, Jia Ler Koh",NOT RATED,"Singapore, Japan, Taiwan, France",None,None,100%,N/A
tt2901896,Blood Hunt,2017,"An action-packed, waking nightmare of relentless brutality and merciless revenge, set against the harsh landscape of rural Australia.",https://m.media-amazon.com/images/M/MV5BZjc4MjU5MWMtMTc4YS00ZmUxLWEyZTQtZTcxNTRjNTRlZTZmXkEyXkFqcGdeQXVyMjA3NjYxMQ@@._V1_SX300.jpg,78 min,N/A,"Action, Horror",Sam Curtain,"Dean Kirkright, Kahli Williams, Thomas Roach, Benjamin Denmeade",N/A,Australia,None,None,N/A,N/A
